Topic,SubTopic,S.No,Question Name,Question Link,Java Solution
Bitwise,Bitwise properties,1,Check if ith bit set or not,https://practice.geeksforgeeks.org/problems/check-whether-k-th-bit-is-set-or-not-1587115620/1,./src/main/java/Bitwise/BitSetOrNot.java
Bitwise,Bitwise properties,2,Number of 1 bits,https://leetcode.com/problems/number-of-1-bits/,./src/main/java/Bitwise/NumberOfSetBits.java
Bitwise,Bitwise properties,3,Counting Bits,https://leetcode.com/problems/counting-bits/,./src/main/java/Bitwise/CountingBits.java
Bitwise,Bitwise properties,4,Reverse Bits,https://leetcode.com/problems/reverse-bits/,./src/main/java/Bitwise/ReverseBits.java
Bitwise,Bitwise properties,5,Say N is odd/even,https://practice.geeksforgeeks.org/problems/odd-or-even3618/1,./src/main/java/Bitwise/EvenOrOdd.java
Bitwise,Bitwise properties,6,Swap all odd and even bits,https://practice.geeksforgeeks.org/problems/swap-all-odd-and-even-bits-1587115621/1,./src/main/java/Bitwise/PowerSet.java
Bitwise,Bitwise properties,7,Longest Consecutive 1's,https://practice.geeksforgeeks.org/problems/longest-consecutive-1s-1587115620/1,./src/main/java/Bitwise/PowerSet.java
Bitwise,Bitwise properties,8,Sparse Number,https://practice.geeksforgeeks.org/problems/number-is-sparse-or-not-1587115620/1,./src/main/java/Bitwise/PowerSet.java
Bitwise,Bitwise properties,9,Extract/Set/Clear/Remove,https://www.geeksforgeeks.org/set-clear-and-toggle-a-given-bit-of-a-number-in-c/,./src/main/java/Bitwise/
Bitwise,Bitwise properties,10,Check if a no is a power of 2,https://practice.geeksforgeeks.org/problems/power-of-2-1587115620/1,./src/main/java/Bitwise/PowerOf2OrNot.java
Bitwise,Bitwise properties,11,Copy set bits in a range,https://www.geeksforgeeks.org/copy-set-bits-in-a-range/,https://www.geeksforgeeks.org/copy-set-bits-in-a-range
Bitwise,Bitwise properties,12,Complement of base 10 number,https://leetcode.com/problems/complement-of-base-10-integer,./src/main/java/Bitwise/DecimalToBinaryConversion.java
Bitwise,Bitwise properties,13,Bit difference,https://leetcode.com/problems/convert-a-number-to-hexadecimal/,./src/main/java/Bitwise/DecimalToBinaryConversion.java
Bitwise,Shifting,1,Print Xor of 1 to N and Range,https://practice.geeksforgeeks.org/problems/xor-of-a-given-range/1,./src/main/java/Bitwise/XOR_Range.java
Bitwise,Shifting,2,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/,./src/main/java/Bitwise/BitwiseANDRange.java
